PMID/PMCID	Publisher	Journal title	Article title	COST (£) charged to Wellcome (inc VAT when charged)
PMC3724654	American Society for Biochemistry and Molecular Biology	Journal of Biological Chemistry	Differential Virulence of Candida glabrata Glycosylation Mutants	1621.62
2797226	American Society for Biochemistry and Molecular Biology	Journal of Biological Chemistry	Nucleotide Binding by Lhs1p Is Essential for Its Nucleotide Exchange Activity and for Function in Vivo	1707.08
PMC3442528	American Society for Biochemistry and Molecular Biology	Journal of Biological Chemistry	Hypoxia-inducible factor-1a (HIF1a) switches on transient receptor potential ankryn repeat 1 (TRPA1) gene expression via a hypoxia response element-like motif to modulate cytokine release	1763.21
2898433	American Society for Biochemistry and Molecular Biology	Journal of Biological Chemistry	Interactions between Kar2p and its nucleotide exchange factors Sil1p and Lhs1p are mechanistically distinct	2003.13
3397837	American Society for Biochemistry and Molecular Biology	Journal of Biological Chemistry	Specific β-containing integrins exert differential control on proliferation and 2D collective cell migration in mammary epithelial cells	2032.22
 PMCID: PMC3750171 	American Society for Biochemistry and Molecular Biology	Journal of Biological Chemistry	Hepatitis C virus NS5 inhibits mixed lineage kinase 3 to block apoptosis	2311.57
2975197	American Society for Biochemistry and Molecular Biology	Journal of Biological Chemistry	Cell Cycle-dependent Regulation of the Forkhead Transcription Factor FOXK2 by CDK·Cyclin Complexes	2344.79
PMC3757190 	American Society for Biochemistry and Molecular Biology	Journal of Biological Chemistry	Fused in Sarcoma (FUS) Protein Lacking Nuclear Localization Signal (NLS) and Major RNA Binding Motifs Triggers Proteinopathy	1188.3899999999999
23264619 PMC3576117 	Cadmus Journal Services	Journal of Biological Chemistry	Critical role for an acidic amino acid region in platelet signalling by the hemITAM (hemi-Immunoreceptor Tyrosine-based Activation Motif) containing receptor CLEC-2 (C-type Lectin receptor-2)	1804
23704797 PMCID: PMC3662417 	Springer	Journal of Biological Physics	Packaging signals in single-stranded RNA viruses: Nature's alternative to a purely electrostatic assembly mechanism	2226.16
	Sciedu Press	Journal of Biomedical Graphics and Computing	Functional MRI demonstrates pain perception in hand osteoarthritis has features of central pain processing	135.29
PMC3607410	Wiley-Blackwell	Journal of Bone and Mineral Research	Regulation of human bone marrow stromal cell proliferation and differentiation	755.45
22566126 PMC3746124 	Wiley-Blackwell	Journal of Cell Physiology	The dynamics of PKC-induced phosphorylation triggered by Ca2+ oscillations in mouse eggs	2380.96
PMID: 24046445 PMC3828593 	The Company of Biologists	Journal of Cell Science	A new kind of membrane-tethered eukaryotic transcription factor that shares an auto-proteolytic processing mechanism with bacteriophage tail-spike proteins	2400
PMC3533396	The Company of Biologists	Journal of Cell Science	PKA isoforms coordinate mRNA fate during nutrient starvation 	1620
3613178	The Company of Biologists	Journal of Cell Science	Positional editing of transmembrane domains during ion channel assembly	1620
3613179	The Company of Biologists	Journal of Cell Science	Get3 is a holdase chaperone and moves to deposition sites for aggregated proteins when membrane targeting is blocked	1620
3757329	The Company of Biologists	Journal of Cell Science	The antagonistic modulation of Arp2/3 activity by N-WASP/WAVE2 and PICK1 defines dynamic changes in astrocyte morphology	2400
	The Company of Biologists	Journal of Cell Science	Expression of OA1 limits the fusion of a subset of MVBs with lysosomes; a mechanism likely involved in the initial biogenesis of melanosomes	2400
PMID:23606739	The Company of Biologists	Journal of Cell Science	Cell wall stress induces alternative fungal cytokinesis and septation strategies	2000
PMC3672941	The Company of Biologists	Journal of Cell Science	A short bifunctional element operates to positively or negatively regulate ESAG9 expression in different developmental forms of Trypanosoma brucei	2400
41609	Wiley-Blackwell	Journal of Cellular Biochemistry	The U5 snRNA internal loop 1 is a platform for Brr2, Snu114 and Prp8 protein binding during U5 snRNP assembly	1971.87
3790930	Nature Publishing Group	Journal of Cerebral Blood Flow and Metabolism	The effects of focal epileptic activity on regional sensory-evoked neurovascular coupling and post-ictal modulation of bilateral sensory processing	1920
"PMC3597375
"	Nature Publishing Group	Journal of Cerebral Blood Flow and Metabolism	Is myelin a mitochondrion?	2040
PMCID: PMC3739413	American Chemical Society	Journal of Chemical Information and Modeling	Locating Sweet Spots for Screening Hits and Evaluating Pan-Assay Interference Filters from the Performance Analysis of Two Lead-like Libraries	1329.69
PMC3505738	BioMed Central	Journal of Cheminformatics	USRCAT: Ultrafast Shape Recognition with pharmacophoric constraints	882.12
3796855	Wiley-Blackwell	Journal of Child Psychology and Psychiatry	Parental depressive and anxiety symptoms during pregnancy and attention problems in children. A cross-cohort consistency study	2222.22
PMCID: PMC3593170 	Wiley-Blackwell	Journal of Child Psychology and Psychiatry	Research Review: Emanuel Miller Memorial Lecture 2012 - Neuroscientific studies of intervention for language impairment in children: interpretive and methodological problems	1872.14
PMID: 23082797 PMC3562487	Wiley-Blackwell	Journal of Child Psychology and Psychiatry	Brain structure abnormalities in adolescent girls with Conduct Disorder	2232
"PMC3708033

"	The Endocrine Society	Journal of Clinical Endocrinology	Structural pituitary abnormalities associated with CHARGE syndrome	1970.57
3589712	Cenveo	Journal of Clinical Endocrinology and Metabolism	Analysis of Body Composition in Individuals With High Bone Mass Reveals a Marked Increase in Fat Mass in Women But Not Men	2310.83
"PMC3612801


"	Endocrine Society	Journal of Clinical Endocrinology and Metabolism	Variations in PROKR2, but not PROK2, are associated with hypopituitarism and septo-optic dysplasia	1995.43
3462937	Endocrine Society	Journal of Clinical Endocrinology and Metabolism	A Cross-Sectional Study of the Relationship between Cortical Bone and High-Impact Activity in Young Adult Males and Females	2224.52
3752522	Endocrine Society	Journal of Clinical Endocrinology and Metabolism	Distinct relationships of intramuscular and subcutaneous fat with cortical bone: findings from a cross-sectional study of young adult males and females	2355.52
23337727 PMC3651585 	The Endocrine Society	Journal of Clinical Endocrinology and Metabolism	Genotype and phenotype correlation	1909
PMID: 23846817 /PMCID: PMC3784648	The Endocrine Society	Journal of Clinical Endocrinology and Metabolism	Metformin inhibits FSH action in human granulosa cells: relevance to polycystic ovary syndrome	1969.56
PMID: 23783094 : PMC3813945 	The Endocrine Society	Journal of Clinical Endocrinology and Metabolism	How changes in affinity of corticosteroid-binding globulin modulate free cortisol concentration	2320
23365120 PMC3708032 	The Endocrine Society	Journal of Clinical Endocrinology and Metabolism	Prenatal diagnosis of congenital adrenal hyperplasia caused by p450	2347.87
	Elsevier	Journal of Clinical Epidemiology	Systematic Reveiw of the Hawthorn effect: New concepts are  ....	1955.21
PMC3697714	Cadmus Journal Services	Journal of Clinical Microbiology	Development and evaluation of a next-generation digital PCR diagnostic assay for ocular chlamydia trachomatis infections.	1289.32
"PMCID:
    PMC3697669"	American Society for Microbiology	Journal of Clinical Microbiology	Molecular Analysis of an Outbreak of Lethal Postpartum Sepsis Caused by Streptococcus pyogenes [Lethal Streptococcus pyogenes post-partum sepsis: Molecular analysis of an outbreak]	1503.47
PMC3756517	BMJ Group	Journal of Clinical Pathology	Development of a robust protocol for gene expression analysis using formalin-fixed, paraffin-embedded liver transplant biopsy specimens	2340
PMC3793856	Elsevier	Journal of Clinical Virology	Ecological and taxonomic variations among human RNA viruses	2486.13
PMC3077429	MIT Press	 Journal of Cognitive Neuroscience	Executive-semantic processing is underpinned by a large-scale network: Revealing the contribution of left prefrontal, posterior temporal and parietal cortex to controlled retrieval and selection using TMS	808.85
2.3386329E7	Wiley-Blackwell	Journal of Comparative Neurology	Axon diversity of lamina I local-circuit neurons in the lumbar spinal cord	1909.73
"PMCID:
    PMC3650242"	Springer	Journal of Computational Neuroscience	The spatial pattern of light determines the kinetics and modulates backpropagation of optogenetic action potentials	2241.43
PMC3450431	American Psychological Association	Journal of Consulting and Clinical Psychology	"A randomized clinical trial of mindfulness-based cognitive therapy versus unrestricted services for health anxiety (hypochondriasis). 
"	3037.86
PMC3729250	Taylor and Francis	Journal of Cultural Economy	Transport to where? Reflections on the problem of value and time .	2145.6
PMID:23642644  PMC3851688 	Elsevier	Journal of Cycstic Fibrosis	Extensive diversification is a common feature of Pseudomonas aeruginosa populations during respiratory infections in cystic fibrosis	2396.85
PMCID: PMC3429856	Wiley-Blackwell	Journal of Depression & Anxiety	Clinical Predictors of Familial Depression in Han Chinese Women	2321.38
PMCID: PMC3429859	Wiley-Blackwell	Journal of Depression & Anxiety	A Comparison of Melancholic and Non-Melancholic Recurrent Major Depression in Han Chinese Women	2321.38
3535885	BioScientifica	Journal of Endocrinology	Stress-dependent and gender-specific neuroregulatory roles of the apelin receptor in the hypothalamic-pituitary-adrenal axis response to acute stress	1200
3596772	BMJ Group	Journal of Epidemiology & Community Health	Trajectories of Socioeconomic Inequalities in health, behaviours and academic achievement across childhood and adolescence	2040
	BMJ Group	Journal of Epidemiology & Community Health	Socioeconomic inequalities in all-cause mortality in the Czech Republic, Russia, Poland and Lithuania in the 2000s: findings from the HAPIEE study	1989
PMID: 23761410 PMC3756433 	BMJ Group	Journal of Epidemiology and Community Health	Economic determinants of diet in older adults: systematic review	1755
PMID: 22360292 	Wiley-Blackwell	Journal of Evaluation in Clinical Practice	Evaluating care pathways for community psychiatry in England: a qualitative study	2275.02
PMCID:PMC3708113	Wiley-Blackwell	Journal of Evaluation in Clinical Practice	Mental Disorders are not Brain Disorders	2328.04
PMC3798115	Wiley-Blackwell	Journal of Evolutionary Biology	Fecundity compensation and tolerance to a sterilizing pathogen in Daphnia.	2365.54
PMC3836354 	Taylor and Francis	Journal of Experimental Nanoscience	Application of Nanotechnology to Control Bacterial Adhesion and Patterning on Material Surfaces	2474.16
2.3668184E7	American Psychological Association	Journal of Experimental Psychology: Animal Behaviour Process	Asymmetry in the Discrimination of Length During Spatial Learning	3144.24
"PMC3607463

"	American Psychological Association	Journal of Experimental Psychology: Human Perception and Performance	Collective enumeration	2659.32
PMC3725889	American Psychological Association	Journal of Experimental Psychology: Human Perception and Performance	Dissociable Roles of Different Types of Working Memory Load in Visual Detection	2561.4
23421830 PMC3576129 	American Psychological Association	Journal of Family Psychology	The nature of nuture:  Disentangling passive geneotype-environment correlation from family relationship influences on children's externalising problems	3092.1800000000003
PMID: 23761407 PMC3749055	Society for General Microbiology	Journal of General Virology	Vaccinia virus protein N2 is a nuclear IRF3 inhibitor that promotes virulence	1575
PMCID: PMC3541790	Society for General Microbiology	Journal of General Virology	Vaccinia virus protein C4 inhibits NF-kB activation and promotes virus virulence	1750
PMID: 23288427 PMC3709586 	Society for General Microbiology	Journal of General Virology	Deletion of immunomodulator C6 from vaccine virus strain western reserve enhances virus immunogenicity and vaccine efficacy	2100
PMID: 23515023 PMC3709636 	Society for General Microbiology	Journal of General Virology	An essential RNA element resides in a central region of hepatitis E virus ORF2	2100
PMID: 22622330  PMC3709573 	Society for General Microbiology	Journal of General Virology	Protein B5 is required on extracellular enveloped vaccinia virus for repulsion of superinfecting virions	2100
"PMCID:
    PMC3709624"	Society for General Microbiology	Journal of General Virology	Mutations in hemagglutinin that affect receptor binding and pH stability increase replication of a PR8 influenza virus with H5 HA in the upper respiratory tract of ferrets and may contribute to transmissibility	2100
23324467 PMCID: PMC3709587 	Society for General Microbiology	Journal of General Virology	The C terminus of NS5A domain II is a key determinant of hepatitis C virus genome replication, but is not required for virion assembly and release	2100
PMID:23407423	Society for General Microbiology	Journal of General Virology	G8 rotaviruses with conserved genotype constellations detected in Malawi over 10 years 1 (1997-2007) display frequent gene reassortment among strains co-circulating in humans	2100
PMID:22513389 PMC3542733	Society for General Microbiology	Journal of General Virology	The small genome segment of Bunyamwera orthobunyavirus harbours a single transcription-termination signal	2100
PMID:23255627 PMC3709688 	Society for General Microbiology	Journal of General Virology	Establishment of a reverse genetics system for Schmallenberg virus, a newly emerged orthobunyavirus in Europe	2100
PMC3347798	Society for General Microbiology	Journal of General Virology	The natural history of early hepatitis C virus evolution; lessons from a global outbreak in human immunodeficiency virus-1-infected individuals	1750
PMC3403862	Oxford University Press	Journal of Gerontology Series A: Medical Sciences	The association of dementia with upper arm and waist circumference in seven low and middle-income countries: the 10/66 cross-sectional surveys	2040
PMCID: PMC3625113	Elsevier	Journal of Hepatology	Gamma H2AX+CD8+ T-lymphocytes cannot respond to Interferon-alpha, Il-2 or Il-6 in chronic hepatitis C virus infection	2328.24
PMC3710969	Elsevier	Journal of Hepatology	Pathogenesis of FOLFOX induced sinisoidal obstruction syndrome in murine chemotherapy model	2366.57
PMC3524560 	Sage	Journal of Histochemistry & Cytochemistry	Hyaluronan and hyaluronan-binding proteins are normal components of mouse pancreatic islets and are differentially expressed by islet endocrine cell types	1893.34
	Elsevier	Journal of Historical Geography	The making of urban ‘healtheries’: Lord Brabazon and the transformation of cemeteries and burial grounds in late-Victorian East London	596.46
PMC3580288	Elsevier	Journal of Hospital Infections	Evaluation of surveillance for surgical site infections in Thika Hospital, Kenya	2293.37
PMCID: PMC3586974	American Association of Immunologists	Journal of Immunology	Sialoadhesin ligand expression identifies a subset of CD4+Foxp3- T cells with a distinct activation and glycosylation profile.	2035
23455506  PMCID: PMC3607399 	American Association of Immunologists	Journal of Immunology	Regulation of Foxp3+ Inducible Regulatory T Cell Stability by SOCS2	3108.08
PMID:23475217 - PMC3619528 	Dartmouth Journal Services	Journal of Immunology	Candida albicans primes the Toll-like receptor cytokine responses through a dectin-1/Ref-1-mediated pathway	1932.69
PMID:23046967 /PMCID: PMC3540259	Elsevier	Journal of Infection	The prevalence of cryptococcal antigenemia in newly diagnosed HIV patients in a Southwest London cohort	2286.09
PMID: 23493728 /PMCID: PMC3654748	Oxford University Press	Journal of Infectious Diseases	The Phenotype of the Cryptococcus-specific CD4 Memory T-cell Response is Associated with Disease Severity and Outcome in HIV-associated Cryptococcal Meningitis	2250
In Process	Oxford University Press	Journal of Infectious Diseases	Viral suppression following switch to second-line antiretroviral therapy: associations with NRTI resistance and 'sub-therapeutic' drug concentrations prior to switch 	2625.6
PMID:  23945372	Oxford University Press	Journal of Infectious Diseases	Cryptococcus neoformans ex vivo capsule size is associated with intracranial pressure and host immune response in HIV−associated cryptococcal meningitis	2625.6
PMID22301630, PMCID3274377	Oxford University Press	Journal of Infectious Diseases	Therapeutic vaccination with recombinant adenovirus reduces splenic parasite burden in experimental visceral leishmaniasis	2040
PMID:24048963 (Epub Sept 2013)	Oxford University Press	Journal of Infectious Diseases	" 
 

Persistent endothelial activation after Plasmodium falciparum infection in Malawian children.



"	2841.6
PMCID: PMC3749005	Oxford University Press	Journal of Infectious Diseases	T-cell immunophenotyping distinguishes active from latent tuberculosis	2625.6
"PMCID:
    PMC3583273"	Oxford University Press	Journal of Infectious Diseases	"The role of interleukinâˆ’10 family of cytokines in HIVâˆ’tuberculosis associated immune reconstitution inflammatory syndrome
"	2040
PMC3109261	Springer	Journal of Inherited Metabolic	Structural basis of fumarate hydratase deficiency	2127.68
PMC3505369	Wiley-Blackwell	Journal of Internal Medicine	Acute infection and venous thromboembolism	1873.87
"PMC3678977
"	Nature Publishing Group	Journal of Investigative Dermatology	Multiple Congenital Melanocytic Naevi and Neurocutaneous Melanosis are Caused by Post-Zygotic Mutations in Codon 61 of NRAS.	2520
PMID: 23743648	Nature Publishing Group	Journal of Investigative Dermatology	Heterozygous mutations in AAGAB cause type 1 punctate palmoplantar keratoderma with evidence for increased growth factor signalling	2520
PMID: 23962810  Aug 2013 Epub 	Nature Publishing Group	Journal of Investigative Dermatology	Keratin 9 is Required for the Structural Integrity and Terminal Differentiation of Palmoplantar Epidermis	2520
PMCID:PMC3778837	Nature Publishing Group	Journal of Investigative Dermatology	The IL23R A/Gln381 allele promotes IL-23 unresponsiveness in human memory T helper17 cells and impairs Th17 responses in psoriasis patients	2520
PMC3685014	FASEB	Journal of Leukocyte Biology	Autofluoresence-based sorting: rapid and non-perturbing isolation of ultra-pure neutrophils to determine cytokine production	1626.36
PMID:23192429	Society for Leukocyte Biology	Journal of Leukocyte Biology	Kidney transplantation: analysis of the expression and T cell-mediated activation of latent TGF-B	1956
PMID:21531876 PMC3513931 	Society of Leukocyte Biology	Journal of Leukocyte Biology	The dectin-1/inflammasome pathway is responsible for the induction of protective T-helper 17 responses that discriminate between yeasts and hyphae of Candida albicans	1598.38
"PMCID: PMC3466423
"	Elsevier	Journal of Mechanisms of Ageing and Development	Frequency distribution analysis of activation times and regional fibrosis in murine Scn5a+/- hearts: the effects of ageing and sex 	2696.34
	BMJ Group	Journal of Medical Ethics	Elective ventilation for organ donation: law, policy and public ethics	2040
PMC3812898	BMJ Group	Journal of Medical Ethics	Moral responsibility for (un)healthy behaviour	2040
	BMJ Group	Journal of Medical Genetics	Combined exome and whole-genome sequencing identifies mutations in ARMC4 as a cause of primary ciliary dyskinesia with defects in the outer dynein arm	1989
PMC3756527	BMJ Group	Journal of Medical Genetics	Can the diagnosis of NF1 be excluded clinically? A lack of Pigmentary findings in families with spinal neurofibromatosis demonstrates a limitation of clinical diagnosis	2340
41609	Wiley-Blackwell	Journal of Medical Virology	High level of HIV-2 false positivity in KwaZulu-Natal province: A region of South Africa with a very high HIV-1 subtype C prevalence	612.59
23983183 PMC3798117 	Wiley-Blackwell	Journal of Medical Virology	The Kinetics of the Neutralizing antibody response to respiratory syncytial infections in a birth cohort 	1834.77
PMC3579457	American Chemical Society	Journal of Medicinal Chemistry	Comparative Structural and Functional Studies of 4-(Thiazol-5-yl)-2-(phenylamino) pyrimidine-5-carbonitrile CDK9 inhibitors suggest the basis for Isotype Slectivity	2392.2
PMCID: PMC3530961	American Chemical Society	Journal of Medicinal Chemistry	Synthesis and evaluation of α-thymidine analogues as novel antimalarials.	1287.2
PMCID: PMC3624797	American Chemical Society	Journal of Medicinal Chemistry	Discovery and structure-activity relationships of pyrrolone antimalarials.	1324.66
PMC3694353	American Chemical Society	Journal of Medicinal Chemistry	Synthesis and in vitro and in vivo characterization of highly β1-selective β-adrenoceptor partial agonists.	1006.72
PMID: 20146481	American Chemical Society	Journal of Medicinal Chemistry	Toward biophysical probes for the 5-HT3 receptor: structure-activity relationship study of granisetron derivatives	572.74
PMCID: PMC3504484	American Chemical Society	Journal of Medicinal Chemistry	Design, synthesis and structure-activity relationships of highly potent 5-HT3 receptor ligands	750.66
PMID:23281892 PMC3579312	American Chemical Society	Journal of Medicinal Chemistry	A class of 5-nitro-2-furancarboxylamides with potent trypanocidal activity against Trypanosoma brucei in vitro	321.12
23412844 PMC3709824 	Society for General Microbiology	Journal of Microbiology	Disruption of the serine/threonine protein kinase H affects phthiocerol dimycocerosates synthesis in Mycobacterium tuberculosis	2100
3838626	Wiley-Blackwell	Journal of Microscopy	Regulation of contact inhibition of locomotion by Eph-ephrin signalling	2400
PMC3437440	Elsevier	Journal of Molecular Biology	Selective Deactivation of Serum IgG: A General Strategy for the Enhancement of Monoclonal Antibody Receptor Interactions	2192.89
23318955  PMCID: PMC3593212 	Elsevier	Journal of Molecular Biology	Sequence-specific, RNA-protein interactions overcome electrostatic barriers preventing assembly of Satellite Tobacco Necrosis Virus coat protein	2372.01
PMCID: PMC3605589	Elsevier	Journal of Molecular Biology	A “mechanistic” explanation of the multiple helical forms adopted by bacterial flagellar filaments	2455.82
PMID:20097205	Elsevier	Journal of Molecular Biology	Structural basis of substrate binding in WsaF	2459.32
PMC3672996	BioScientifica	Journal of Molecular Endocrinology	Stable conditional expression and effect of C/EBPβ-LIP in adipocytes using the pSLIK system	1200
23132913 PMC3535724 	BioScientifica	Journal of Molecular Endocrinology	A SULT2A1 genetic variant identified by GWAS as associated with low serum	2400
"PMCID:
    PMC3695676"	Springer	Journal of Molecular Medicine	Functional expression of Rab escort protein 1 following AAV2-mediated gene delivery in the retina of choroideremia mice and human cells ex vivo	2262.59
print in press	Springer	Journal of Molecular Neuroscience	Pramipexole Reduces Phosphorylation of Alpha-synuclein at Serine 129	1896.98
23474851 : PMC3664183 	Springer	Journal of Neural Transmission	Cellular Localization and Trafficking of Vascular Adhesion Protein-1 as Revealed by an N-terminal GFP Fusion Protein	2289.17
"PMC3644170


"	Wiley-Blackwell	Journal of Neurochemistry	A nicotinic acetylcholine receptor transmembrane point mutation...	1860.57
PMC3557719	Wiley-Blackwell	Journal of Neurochemistry	Pituitary adenylate cyclase-activating peptide induces long-lasting neuroprotection through the induction of activity-dependent signaling via the cyclic AMP response element-binding protein-regulated transcription co-activator 1	2184.22
PMC3557716	Wiley-Blackwell	Journal of Neurochemistry	SMRT-mediated co-shuttling enables export of class IIa HDACs independent of their CaM kinase phosphorylation sites	2184.22
PMC3532615	Wiley-Blackwell	Journal of Neurochemistry	Mass spectrometry analysis of human P2X1 receptors: insight into phosphorylation, modelling and conformational changes	2270.34
"PMC3664422

"	Wiley-Blackwell	Journal of Neurochemistry	Quality control parameters on a large dataset of control, regionally dissected human brains for whole genome expression	2010.24
PMC3488597	Wiley-Blackwell	Journal of Neuroendocrinology	Changes in the brain accumulation of glucocorticoids in abcb1a-deficient CF-1 mice.	2302.93
PMC3520704	BioMed Central	Journal of Neuroinflammation	TLR-4 ligation of dendritic cells is sufficient to drive pathogenic T cell function in experimental autoimmune encephalomyelitis	1295.4
	Springer	Journal of Neurology	Exome sequencing expands the mutational spectrum of SPG8 in a family with spasticity responsive to L-DOPA treatment	1851.29
PMCID: PMC3642358	Springer	Journal of Neurology	How often does music and rhythm improve patients' perception of motor symptoms in Parkinson's disease	1902.46
PMID:24150688	Springer	Journal of Neurology	Discrete gait characterisitcs are associated with m.3243A>G and m.8344A>G variants of mitochondrial disease and its pathological consequences	2209.76
PMC3691478	Springer	Journal of Neurology	Copper deficiency myeopathy	2387.49
	JSciMed Central	Journal of Neurology & Translational Neuroscience	Parkinson's Disease: The Catabolic Theory	159.91
	BMJ Group	Journal of Neurology, Neurosurgery & Psychiatry	A clinical and family history study of Parkinson's disease in heterozygous glucocerebrosidase mutation carriers	2040
PMC3646288 	BMJ Group	Journal of Neurology, Neurosurgery & Psychiatry	The Val158Met COMT polymorphism is a modifier of the age at onset in Parkinson's disease with a sexual dimorphism	2040
"PMC3623030

"	BMJ Group	Journal of Neurology, Neurosurgery and Psychiatry	Olfactory impairment in posterior cortical atrophy	2040
PMCID: PMC3646287	BMJ Group	Journal of Neurology, Neurosurgery and Psychiatry	The long-term safety and efficacy of bilateral transplantation of human fetal striatal tissue in patients with mild to moderate Huntingdon’s disease	2040
PMCID: PMC3623037	BMJ Group	Journal of Neurology, Neurosurgery and Psychiatry	The Addenbrooke's cognitive examination for the differential diagnosis and longitudinal assessment of patients with Parkinsonian disorders	2040
PMC3534254	BMJ Group	Journal of Neurology, Neurosurgery and Psychiatry	Flavour identification in frontotemporal lobar degeneration	2040
"PMC3574980

"	American Physiological Society	Journal of Neurophysiology	Reliable evaluation of the quantal determinants of synaptic efficacy using Bayesian analysis	1276.08
"PMC3680818

"	American Physiological Society	Journal of Neurophysiology	"Responses of single corticospinal neurons to intracortical stimulation of primary motor and premotor cortex in the anesthetized macaque monkey"" (JN-01080-2012R1)"	1291.02
"PMC3602834
"	American Physiological Society	Journal of Neurophysiology	Interaction of temporal and ordinal representations in movement sequences	1319.17
PMC3234094	American Physiological Society	Journal of Neurophysiology	Endogenous modulation of low frequency oscillations by temporal expectations	1514.35
PMCID: PMC3653044	American Physiological Society	Journal of Neurophysiology	The effect of contextual cues on the encoding of motor memories	1551.6100000000001
PMID22972952  PMC3544867 	Camdus Journal Services	Journal of Neurophysiology	Intra and interhemispheric connectivity between face-selective regions in the human brain	1565.06
23554485 PMC3664272 	Cadmus Journal Services	Journal of Neuroscience	Triple cysteine module within M-type K+ channels mediates reciprocal channel modulation by nitric oxide and reactive oxygen species	1283
	Society for Neuroscience	Journal of Neuroscience	Effect of limb lengthening on internodal length and conduction velocity of peripheral nerve	885.52
23447590 : PMC3601669 	Society for Neuroscience	Journal of Neuroscience	GABA(B) receptors regulate extrasynaptic GABA(A) receptors	1730.99
3676539	Society for Neuroscience	Journal of Neuroscience	Otoferlin couples to clathrin-mediated endocytosis in mature cochlear inner hair cells	1761.28
PMID: 23426678 PMC3593678	Society for Neuroscience	Journal of Neuroscience	Serotonin modulates striatal responses to fairness and retaliation in humans	1915.9199999999998
	Society for Neuroscience	Journal of Neuroscience	alpha2delta-1 gene deletion affects somatosensory neuron function and delays mechanical hypersensitivity in response to peripheral nerve damage	2029.47
PMCID: PMC3724995	Society for Neuroscience	Journal of Neuroscience	The temporal evolution of feedback gains rapidly update to task demands	2069.75
PMID:23739958	Society for Neuroscience	Journal of Neuroscience	Spinal Commissural Connections to Motorneurons controlling the primate hand and wrist	2077.27
PMCID: PMC3655688	Society for Neuroscience	Journal of Neuroscience	Depletion of perineuronal nets enhances recognition memory and long-term depression in the perirhinal cortex	2104.22
	Society for Neuroscience	Journal of Neuroscience	A distinct contribution of short wavelength sensitive cones to light evoked activity in the mouse pretectal olivary nucleus (PON)	2214.66
PMC3586675	Society for Neuroscience	Journal of Neuroscience	Segregated encoding of reward-identity and stimulus-reward associations in human orbitofrontal cortex	614.73
PMID:24285889	Society for Neuroscience	Journal of Neuroscience	Auditory artificial grammar learing in macaque and marmoset monkeys	2346.1800000000003
PMC3196626	Society for Neuroscience	Journal of Neuroscience	Calcineurin mediates activity-dependent relocation of the axon initial segment	2950.25
PMCID:PMC3759848	Elsevier	Journal of Neuroscience Methods	A Comparison of Automated Anatomical-Behavioural Mapping Methods in a Rodent Model of Stroke	1442.48
PMCID: PMC3683149 	Elsevier	Journal of Neuroscience Methods	Registration of Challenging Pre-clinical Brain Images	2420.16
3738233	Dartmouth Journal Services	Journal of Nutrition	Genetic variants influencing biomarkers of nutrition are not associated with cognitive capability in middle-aged and older adults	2594.13
PMCID: PMC3383891	Elsevier	Journal of Nutrition Education and Behaviour	Examining multiple parenting behaviours on young children’s dietary fat consumption	2321.23
"PMCID:
    PMC3736148"	Wiley-Blackwell	Journal of Orthopedic Research	Hip abduction can prevent posterior edge loading of hip replacements	2374.52
Epub ahead of print April 2013 - print in press	Elsevier	Journal of Paediatric Urology	Persistent unexplained congenital clitoromegaly in females born extremely premature	2444.75
2.347674E7	Hindawi	Journal of Parasitology Research	"Mast Cell subsets & their functional modulation by the Acanthocheilonema vitae product, ES-62  J Parasitol Res. 2013;2013:961268. doi: 10.1155/2013/961268. Epub 2013 Feb 7.
"	623.954
PMC3588155	Wiley-Blackwell	Journal of Pathology	Use of multivariate analysis to suggest a new molecular classification of colorectal cancer.	2276.53
	Wiley-Blackwell	Journal of Pathology	LRIG1 regulates cadherin-dependent contact inhibition directing epithelial homeostasis and pre-invasive squamous cell carcinoma development	1500
PMC3609073	Wiley-Blackwell	Journal of Pathology	The peritoneal microenvironment of hig-grade serous ovarian cancer	1897.33
3472478	American Physiological Society	Journal of Physiology	Bimodal collagen fibril diameter distributions direct age-related variations in tendon resilience and resistance to rupture	1314.58
PMID: 22547635	Wiley-Blackwell	Journal of Physiology	Plasticity of spatial hearing: behavioural effects of cortical inactivation	1872.72
PMC3591715 	Wiley-Blackwell	Journal of Physiology	Suppressed cellular oscillations in after-hours mutant mice are associated with enhanced circadian phase-resetting 	1869.62
3764640	Wiley-Blackwell	Journal of Physiology	Nitric oxide dependent LTD but not endocannabinoid LTP is crucial for visual recognition memory	2352.94
3678035	Wiley-Blackwell	Journal of Physiology	A functional role for both GABA transporter-1 and GABA transporter-3 in the modulation of extracellular GABA and GABAergic tonic conductances in the rat hippocampus	2400
	Wiley-Blackwell	Journal of Physiology	Redefining the component of cenral CO2 chemosensitivity	2292.34
PMCID: PMC3779110	Wiley-Blackwell	Journal of Physiology	Action potential wavelength restitution predicts alternans and arrhythmia in murine Scn5a+/- hearts	2013.83
3764630	Wiley-Blackwell	Journal of Physiology	Burst activity and ultrafast activation kinetics of CaV1.3 Ca2+ channels support presynaptic activity in adult gerbil hair cell ribbon synapses	2023.54
	Policy Press	Journal of Poverty and Social Justice	"

Subjective wellbeing: a primer for poverty analysts "	1800
